1792;468992
1793;479984
1794;443344
1795;447008
1796;534944
1797;549600
1798;575248
1799;626544
1800;1201792
1801;978288
1802;9639984
1803;996608
1804;3642016
1805;1612160
1806;1458272
1807;3235312
1808;1399648
1809;1403312
1810;3667664
1811;3568736
1812;3583392
1813;3319584
1814;3477136
1815;3960784
1816;5561952
1817;6785728
1818;6837024
1819;6844352
1820;7364640
1821;7731040
1822;8075456
1823;8771616
1824;8423536
1825;10024704
1826;9955088
1827;12234096
1828;12450272
1829;11248480
1830;19141232
1831;16470275
1832;16481068
1833;17763568
1834;19562096
1835;20848160
1836;23577840
1837;25585712
1838;27146576
1839;28271424
1840;32049008
1841;34503888
1842;37138304
1843;35929184
1844;38574592
1845;43916704
1846;49266144
1847;53648288
1848;47573376
1849;49130576
1850;54189971
1851;57297632
1852;64284880
1853;71180528
1854;82319088
1855;90821564
1856;96396176
1857;100452224
1858;105866054
1859;103998208
1860;112653375
1861;123851855
1862;134075797
1863;139488518
1864;150897228
1865;163822728
1866;168329139
1867;180489975
1868;189353462
1869;197348057
1870;198125729
1871;211580000
1872;235091994
1873;251699307
1874;220221734
1875;254915499
1876;266345574
1877;259883475
1878;268509350
1879;284258128
1880;328857422
1881;330134409
1882;348955721
1883;372650413
1884;376343737
1885;380986621
1886;382772470
1887;400962899
1888;431373249
1889;454559420
1890;481645023
1891;501329507
1892;493619639
1893;501919028
1894;527205999
1895;543303993
1896;575291531
1897;608562344
1898;635490449
1899;669336047
1900;712141037
1901;709658935
1902;696447234
1903;743073292
1904;757151506
1905;795758819
1906;812342575
1907;927487693
1908;962016851
1909;954999883
1910;972847019
1911;992693263
1912;1064374607
1913;1146149116
1914;980963703
1915;900020091
1916;946084514
1917;938302187
1918;883432437
1919;686928371
1920;861411286
1921;894102616
1922;918053655
1923;823350720
1924;1000143582
1925;1011684737
1926;977879987
1927;1099309521
1928;1125119777
1929;1235657093
1930;1123304538
1931;1011672596
1932;894112620
1933;921783672
1934;993450491
1935;1039945494
1936;1083809117
1937;1219826068
1938;1232276235
1939;1268979255
1940;1320321456
1941;1301354068
1942;1320653892
1943;1331655941
1944;1141668865
1945;492876460
1946;847605652
1947;990677359
1948;1095324240
1949;1211058888
1950;1277730746
1951;1429765561
1952;1486827260
1953;1514999584
1954;1611358761
1955;1743357192
1956;1867072120
1957;1926396526
1958;1910900677
1959;1940653866
1960;2098390051
1961;2197685292
1962;2352540174
1963;2511656018
1964;2642181541
1965;2675334721
1966;2756097873
1967;2817729592
1968;2990897730
1969;3189615842
1970;3329246175
1971;3417929795
1972;3547884508
1973;3721203851
1974;3701513192
1975;3628109182
1976;3904294186
1977;3865427155
1978;3995780580
1979;4105675347
1980;4069616051
1981;3855106314
1982;3763598663
1983;3720613081
1984;3755586545
1985;3812652596
1986;3796529668
1987;3830321821
1988;3787559868
1989;3825594804
1990;3863410501
1991;3799887431
1992;3672346741
1993;3603904230
1994;3585957609
1995;3635344870
1996;3720561292
1997;3654817833
1998;3645888158
1999;3589873180
2000;3601248752
2001;3658645612
2002;3659455574
2003;3743619432
2004;3754793329
2005;3735104915
2006;3744767167
2007;3702618047
2008;3616941593
2009;3324520113
2010;3425812691
2011;3326278691
2012;3252489906
2013;3171553700
2014;3035948316
2015;3088882320
2016;3095704274
2017;3120028517
2018;3046088582
2019;2909710685
2020;2598575259
1979;19610017729
1980;19492613515
1981;19026910179
1982;18875760275
1983;18998031557
1984;19656716874
1985;20317483523
1986;20619623658
1987;21266194534
1988;22101399490
1989;22406832518
1990;22749574360
1991;23238102148
1992;22569624280
1993;22803495349
1994;22964583359
1995;23453944453
1996;24154961206
1997;24300550431
1998;24206271270
1999;24518962288
2000;25234207250
2001;25451054498
2002;26039191477
2003;27366723291
2004;28627533033
2005;29602777196
2006;30583530081
2007;31493741589
2008;32069444008
2009;31607042410
2010;33343300453
2011;34468451046
2012;34974075146
2013;35283025443
2014;35534442952
2015;35496406339
2016;35452459298
2017;35925737687
2018;36646139785
2019;36702502903
2020;34807259099
